,Correlation_with_Churn
Customer_Service_Calls,0.29038437273776974
Cart_Abandonment_Rate,0.27946531415040493
Pages_Per_Session,-0.22470794995049606
Session_Duration_Avg,-0.21951233580811594
Email_Open_Rate,-0.21623254883960552
Mobile_App_Usage,-0.2113758753554102
Login_Frequency,-0.20437871677244163
Wishlist_Items,-0.1895690819251793
Social_Media_Engagement_Score,-0.17982947290137738
Product_Reviews_Written,-0.17445850166267837
Total_Purchases,-0.1609616756227136
Days_Since_Last_Purchase,0.14801527780499488
Credit_Balance,-0.14798996333451375
Age,-0.10190140354074863
Discount_Usage_Rate,-0.07566038108375185
Returns_Rate,0.05112155467962884
Average_Order_Value,0.04228787925297094
Lifetime_Value,-0.010683723739960285
Payment_Method_Diversity,0.004767434485205539
Membership_Years,-0.0006233218364678551
