Variable,Active_N,Churned_N,Active_Mean,Churned_Mean,Active_Median,Churned_Median,Active_Std,Churned_Std,Active_Min,Churned_Min,Active_Max,Churned_Max,Mean_Difference
Age,35550,14450,38.50016877637131,35.99231833910034,38.0,36.0,10.76130394413506,11.886054827061104,18.0,18.0,75.0,75.0,-2.5078504372709673
Membership_Years,35550,14450,2.9848277371389784,2.9819963273677255,2.5,2.5,2.064002827295631,2.0470745135367063,0.1,0.1,10.0,10.0,-0.0028314097712529573
Login_Frequency,35550,14450,12.64239099859353,9.12083044982699,12.0,8.0,7.68858695540811,7.53972582863238,0.0,0.0,46.0,43.0,-3.5215605487665407
Session_Duration_Avg,35550,14450,29.07131364275668,23.988013840830448,27.4,23.6,10.173185762655834,10.407003263919757,1.0,1.0,75.6,66.3,-5.083299801926234
Pages_Per_Session,35550,14450,9.242450070323487,7.426159169550173,8.7,7.2,3.546182765801742,3.6290544382211607,1.0,1.0,24.1,23.2,-1.8162909007733141
Cart_Abandonment_Rate,35550,14450,54.155428973277075,64.14714878892734,55.5,66.6,15.043080939384371,16.768309383061464,0.0,0.0,100.0,100.0,9.991719815650264
Wishlist_Items,35550,14450,4.644416315049226,3.3644982698961936,4.0,3.0,3.042342176810575,2.9114695544696483,0.0,0.0,28.0,19.0,-1.2799180451530328
Total_Purchases,35550,14450,13.844036568213783,11.360034602076125,13.0,10.0,6.868101651650571,6.992672622966128,0.0,0.0,128.70000000000002,124.8,-2.484001966137658
Average_Order_Value,35550,14450,118.38390733327452,134.7625324817638,108.935,124.39500000000001,171.0654244897223,185.6811872641981,26.38,26.87,9666.37917838422,9487.427995097943,16.378625148489277
Days_Since_Last_Purchase,35550,14450,26.541322081575245,35.966851211072665,21.0,24.0,25.85396901443964,34.28769465402317,0.0,0.0,276.0,287.0,9.42552912949742
Discount_Usage_Rate,35550,14450,42.56886188466948,39.19648442906574,40.1,38.6,20.05564913939839,20.370490960531054,0.24,0.6,99.96,99.96,-3.37237745560374
Returns_Rate,35550,14450,6.374477089896132,7.036705846813071,5.4,5.4,5.917757244672506,5.731228866143615,0.0,0.0,99.22080175503412,99.6157338622138,0.6622287569169387
Email_Open_Rate,35550,14450,22.79026160337553,16.164401384083043,21.1,14.9,13.601719812816171,13.46288486989835,0.0,0.0,91.7,85.7,-6.625860219292488
Customer_Service_Calls,35550,14450,5.184894514767932,6.896470588235294,5.0,7.0,2.5348769112413443,2.609749232820027,0.0,0.0,18.0,21.0,1.711576073467362
Product_Reviews_Written,35550,14450,3.0445569620253163,2.1761245674740484,3.0,2.0,2.264621504021284,2.1131198052865154,0.0,0.0,21.0,15.0,-0.868432394551268
Social_Media_Engagement_Score,35550,14450,31.366447257383964,23.706525951557094,27.6,23.8,19.157237906882486,18.586454402570315,0.0,0.0,100.0,100.0,-7.65992130582687
Mobile_App_Usage,35550,14450,20.499060478199716,16.33084429065744,18.7,16.1,8.669304313744616,8.901318576449787,0.0,0.0,61.9,56.9,-4.168216187542278
Payment_Method_Diversity,35550,14450,2.3328832630098453,2.3442906574394464,2.0,2.0,1.0795871609493264,1.0970030704954752,1.0,1.0,5.0,5.0,0.011407394429601148
Lifetime_Value,35550,14450,1446.8058745428975,1425.423235986159,1266.79,1132.73,857.4467669531347,1019.3436912065229,0.0,0.0,8023.2,8987.24,-21.382638556738584
Credit_Balance,35550,14450,2067.5704078762305,1690.1904498269896,1896.0,1762.5,1147.2760706669228,1133.184203068698,0.0,0.0,7197.0,7160.0,-377.37995804924094
